epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,8361.59,0.35556,0.44913,0.98609,0.91875,0.88953,0.92522,0.81313,0.54132,0.5233,1.01102,0.000466163,0.000466163,0.000466163
65,8497.43,0.3552,0.44918,0.98766,0.92157,0.88394,0.92617,0.80717,0.54804,0.51936,1.02098,0.000453258,0.000453258,0.000453258
66,8633.08,0.3491,0.44432,0.98451,0.93783,0.87855,0.92397,0.80638,0.54627,0.50918,1.01896,0.00044039,0.00044039,0.00044039
67,8767.65,0.34825,0.4363,0.98081,0.92604,0.88043,0.92238,0.81089,0.52039,0.50436,0.99082,0.000427565,0.000427565,0.000427565
68,8894.9,0.35219,0.4362,0.98383,0.92038,0.87291,0.92036,0.81126,0.52542,0.51297,0.99976,0.000414793,0.000414793,0.000414793
69,9021.95,0.34726,0.43933,0.98191,0.92482,0.88137,0.92252,0.81543,0.52418,0.50722,0.99403,0.000402084,0.000402084,0.000402084
70,9149.27,0.34103,0.42008,0.97925,0.93782,0.88363,0.92725,0.81901,0.52129,0.48556,0.98914,0.000389445,0.000389445,0.000389445
71,9276.3,0.3404,0.42752,0.97888,0.93255,0.88495,0.92361,0.81034,0.52608,0.50538,0.99922,0.000376885,0.000376885,0.000376885
72,9405.87,0.34118,0.41613,0.97949,0.92819,0.87633,0.92548,0.81793,0.5225,0.5156,0.99642,0.000364412,0.000364412,0.000364412
73,9536.45,0.33978,0.42013,0.98018,0.91671,0.898,0.92625,0.8136,0.53087,0.50987,1.00773,0.000352037,0.000352037,0.000352037
74,9666.77,0.33704,0.40851,0.97641,0.92449,0.89029,0.92833,0.81216,0.53265,0.50791,1.00462,0.000339766,0.000339766,0.000339766
75,9796.84,0.33255,0.41006,0.96999,0.91899,0.89786,0.92825,0.81512,0.52942,0.49772,0.99815,0.000327608,0.000327608,0.000327608
76,9926.91,inf,0.40844,0.97547,0.92725,0.89283,0.92982,0.81658,0.52523,0.49684,0.99685,0.000315572,0.000315572,0.000315572
77,10057.6,0.32879,0.39952,0.97233,0.93219,0.88187,0.92927,0.81459,0.53082,0.50627,0.9989,0.000303665,0.000303665,0.000303665
78,10186,0.32959,0.39636,0.97202,0.91826,0.88884,0.92798,0.81558,0.5263,0.51496,0.99691,0.000291897,0.000291897,0.000291897
79,10313.3,0.32863,0.39234,0.96803,0.9152,0.88841,0.92622,0.81562,0.52146,0.51124,0.9931,0.000280275,0.000280275,0.000280275
80,10440.7,0.32287,0.38545,0.96788,0.92063,0.88805,0.92775,0.81354,0.5203,0.50077,0.9901,0.000268806,0.000268806,0.000268806
81,10568,0.323,0.39051,0.97075,0.92708,0.8794,0.9292,0.82409,0.52229,0.50867,0.98906,0.0002575,0.0002575,0.0002575
82,10695.1,0.32208,0.38339,0.96773,0.92486,0.88609,0.9289,0.82426,0.52081,0.4989,0.98902,0.000246363,0.000246363,0.000246363
83,10822.7,0.32011,0.38017,0.96736,0.92064,0.89544,0.93084,0.82593,0.52125,0.49084,0.98391,0.000235404,0.000235404,0.000235404
84,10952.8,0.31475,0.37122,0.96389,0.91612,0.89266,0.93012,0.82515,0.5149,0.49053,0.97752,0.000224629,0.000224629,0.000224629
85,11083.4,0.31512,0.37761,0.96547,0.93488,0.87953,0.92778,0.82087,0.51302,0.49557,0.98066,0.000214046,0.000214046,0.000214046
86,11214.1,0.31243,0.36896,0.96238,0.93239,0.87844,0.92593,0.82024,0.51237,0.49762,0.98142,0.000203663,0.000203663,0.000203663
87,11344.8,0.30953,0.36513,0.96045,0.92304,0.8823,0.92659,0.8187,0.51078,0.49742,0.97752,0.000193486,0.000193486,0.000193486
88,11476.2,0.30577,0.3602,0.95553,0.92039,0.88937,0.92709,0.82182,0.51009,0.49767,0.97629,0.000183523,0.000183523,0.000183523
89,11607.4,0.31065,0.358,0.95808,0.91783,0.88781,0.92591,0.81918,0.51093,0.50555,0.98216,0.00017378,0.00017378,0.00017378
90,11736.5,0.30477,0.356,0.95672,0.93162,0.87561,0.92793,0.82142,0.5056,0.50156,0.9746,0.000164264,0.000164264,0.000164264
91,11864.7,0.30728,0.3584,0.95681,0.92752,0.87786,0.92804,0.82009,0.50827,0.50556,0.97591,0.000154982,0.000154982,0.000154982
92,11992.6,0.30649,0.35506,0.95789,0.93411,0.8782,0.92735,0.82056,0.50993,0.50362,0.97615,0.00014594,0.00014594,0.00014594
93,12120.2,0.29933,0.34826,0.95244,0.91646,0.8961,0.92938,0.82264,0.50888,0.4965,0.97866,0.000137143,0.000137143,0.000137143
94,12248.2,0.30069,0.35063,0.95531,0.9146,0.89945,0.92802,0.82346,0.50846,0.49892,0.97898,0.000128599,0.000128599,0.000128599
95,12376.4,0.30047,0.34541,0.95387,0.93138,0.89261,0.92916,0.82263,0.50885,0.50148,0.97712,0.000120313,0.000120313,0.000120313
96,12507.8,0.30197,0.34786,0.95584,0.93235,0.88941,0.92746,0.82275,0.50964,0.50244,0.9785,0.00011229,0.00011229,0.00011229
97,12639.2,0.30033,0.34849,0.9556,0.9351,0.88738,0.92702,0.82376,0.50412,0.49873,0.9722,0.000104537,0.000104537,0.000104537
98,12770.6,0.29702,0.34427,0.95424,0.93035,0.89397,0.92647,0.82346,0.50313,0.49909,0.9693,9.70575e-05,9.70575e-05,9.70575e-05
99,12901.8,0.29445,0.33836,0.95329,0.93296,0.89481,0.92665,0.82338,0.50159,0.49793,0.96622,8.98581e-05,8.98581e-05,8.98581e-05
100,13032.9,0.29528,0.33898,0.95413,0.92624,0.89588,0.92627,0.82085,0.50227,0.49926,0.96715,8.29431e-05,8.29431e-05,8.29431e-05
101,13164.1,0.29299,0.33439,0.94846,0.92796,0.89194,0.92833,0.82089,0.4992,0.49444,0.96515,7.63174e-05,7.63174e-05,7.63174e-05
102,13292.7,0.29594,0.34026,0.95292,0.93731,0.88744,0.92847,0.82384,0.4987,0.49676,0.96384,6.99855e-05,6.99855e-05,6.99855e-05
103,13420.6,0.28878,0.33401,0.94739,0.92272,0.9018,0.92835,0.82338,0.49751,0.49551,0.96272,6.39518e-05,6.39518e-05,6.39518e-05
104,13548.8,0.29186,0.33749,0.95104,0.93906,0.88469,0.92949,0.8263,0.49691,0.49488,0.96251,5.82203e-05,5.82203e-05,5.82203e-05
105,13676.9,0.29148,0.33313,0.94858,0.94296,0.88055,0.92946,0.82513,0.49935,0.4968,0.9639,5.2795e-05,5.2795e-05,5.2795e-05
106,13805.3,0.29009,0.3248,0.94786,0.91629,0.9031,0.92951,0.82579,0.49981,0.49669,0.96427,4.76796e-05,4.76796e-05,4.76796e-05
