epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3146.61,0.31296,0.41395,0.95504,0.96848,0.92057,0.96494,0.85068,0.51044,0.4228,0.97902,0.000582435,0.000582435,0.000582435
56,3204.78,0.31622,0.40572,0.95628,0.96372,0.94158,0.96805,0.8544,0.49842,0.38605,0.95754,0.00056961,0.00056961,0.00056961
57,3262.61,0.30809,0.40173,0.95105,0.96935,0.93201,0.96931,0.85523,0.52999,0.4048,0.99504,0.000556742,0.000556742,0.000556742
58,3320.53,0.30971,0.39854,0.95307,0.96652,0.92681,0.96961,0.86605,0.49746,0.40273,0.96203,0.000543837,0.000543837,0.000543837
59,3378.31,0.30609,0.39562,0.95184,0.98065,0.92556,0.97283,0.86473,0.48458,0.38561,0.93824,0.000530906,0.000530906,0.000530906
60,3435.92,0.30434,0.38809,0.95357,0.96708,0.93464,0.97707,0.87134,0.48197,0.38966,0.94256,0.000517958,0.000517958,0.000517958
61,3494.86,0.29875,0.3865,0.94479,0.96418,0.93987,0.97179,0.8679,0.48706,0.39593,0.94056,0.000505,0.000505,0.000505
62,3551.13,0.30393,0.37943,0.94903,0.9601,0.94823,0.97392,0.87107,0.49859,0.39078,0.94998,0.000492042,0.000492042,0.000492042
63,3607.38,0.2978,0.37644,0.94873,0.97407,0.95945,0.97656,0.87141,0.4867,0.3694,0.94071,0.000479094,0.000479094,0.000479094
64,3663.87,0.29696,0.37288,0.94487,0.9736,0.94637,0.97834,0.88184,0.47343,0.36347,0.92807,0.000466163,0.000466163,0.000466163
65,3720.6,0.29299,0.36774,0.94317,0.96892,0.9331,0.97653,0.86705,0.50152,0.37494,0.96214,0.000453258,0.000453258,0.000453258
66,3776.99,0.29359,0.36817,0.94296,0.98148,0.94879,0.97759,0.87976,0.48163,0.36695,0.93758,0.00044039,0.00044039,0.00044039
67,3834.24,0.28542,0.35446,0.93915,0.96117,0.95974,0.9766,0.86699,0.48731,0.37963,0.94202,0.000427565,0.000427565,0.000427565
68,3891.17,0.28934,0.35526,0.94172,0.95755,0.95498,0.97569,0.87484,0.48905,0.36735,0.95244,0.000414793,0.000414793,0.000414793
69,3948.29,0.28844,0.35441,0.94035,0.96597,0.96482,0.97586,0.87614,0.47395,0.36083,0.92309,0.000402084,0.000402084,0.000402084
70,4005.06,0.28421,0.35322,0.93968,0.97924,0.95996,0.98196,0.87802,0.48091,0.35676,0.93433,0.000389445,0.000389445,0.000389445
71,4062.08,0.28571,0.35178,0.93922,0.98211,0.94891,0.97433,0.87612,0.46335,0.37376,0.91124,0.000376885,0.000376885,0.000376885
72,4119.32,0.28277,0.34166,0.94001,0.97717,0.95298,0.97408,0.8796,0.46917,0.36045,0.92154,0.000364412,0.000364412,0.000364412
73,4176.52,0.27812,0.34276,0.93616,0.97478,0.95302,0.97695,0.87328,0.48086,0.35674,0.93194,0.000352037,0.000352037,0.000352037
74,4233.61,0.27869,0.33099,0.93689,0.97749,0.95394,0.97657,0.88102,0.47309,0.36292,0.92438,0.000339766,0.000339766,0.000339766
